,Order Date,Year,Quarter,Ship Date,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
4310,04-11-2014,2014,4,11-11-2014,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,21.936,3,0.2,8.226
4311,04-11-2014,2014,4,11-11-2014,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,19.44,3,0,9.3312
4309,04-11-2014,2014,4,11-11-2014,Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,573.728,4,0.2,-64.5444
4308,04-11-2014,2014,4,11-11-2014,Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,666.344,7,0.2,66.6344
5653,04-11-2014,2014,4,11-11-2014,Standard Class,Corporate,Long Beach,California,West,Office Supplies,Art,2.94,1,0,0.7938
321,04-11-2014,2014,4,09-11-2014,Standard Class,Home Office,New York City,New York,East,Office Supplies,Storage,43.57,1,0,13.071
320,04-11-2014,2014,4,09-11-2014,Standard Class,Home Office,New York City,New York,East,Technology,Accessories,360,4,0,129.6
2742,04-11-2014,2014,4,08-11-2014,Standard Class,Consumer,San Diego,California,West,Furniture,Furnishings,35.34,2,0,13.4292
9786,05-11-2014,2014,4,05-11-2014,Same Day,Consumer,Hampton,Virginia,South,Furniture,Chairs,149.9,5,0,40.473
6683,05-11-2014,2014,4,10-11-2014,Standard Class,Home Office,Los Angeles,California,West,Furniture,Furnishings,20.04,6,0,8.8176
9713,05-11-2014,2014,4,10-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,51.56,5,0.2,-6.445
8682,05-11-2014,2014,4,10-11-2014,Standard Class,Home Office,Arlington,Virginia,South,Technology,Accessories,47.79,3,0,16.2486
9712,05-11-2014,2014,4,10-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Storage,1080.096,6,0.2,-94.5084
9711,05-11-2014,2014,4,10-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,13.194,2,0.7,-8.796
9710,05-11-2014,2014,4,10-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,273.568,2,0.2,-34.196
9714,05-11-2014,2014,4,10-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,58.416,2,0.2,16.7946
9856,06-11-2014,2014,4,11-11-2014,Standard Class,Consumer,Columbus,Georgia,South,Office Supplies,Paper,43.68,6,0,20.9664
4833,07-11-2014,2014,4,12-11-2014,Standard Class,Consumer,Wausau,Wisconsin,Central,Office Supplies,Binders,12.39,3,0,5.8233
4832,07-11-2014,2014,4,12-11-2014,Standard Class,Consumer,Wausau,Wisconsin,Central,Office Supplies,Storage,22.58,2,0,5.8708
4831,07-11-2014,2014,4,12-11-2014,Standard Class,Consumer,Wausau,Wisconsin,Central,Office Supplies,Storage,36.63,3,0,9.8901
4830,07-11-2014,2014,4,12-11-2014,Standard Class,Consumer,Wausau,Wisconsin,Central,Office Supplies,Appliances,245.88,6,0,68.8464
4782,07-11-2014,2014,4,12-11-2014,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Supplies,40.712,7,0.2,3.5623
6981,07-11-2014,2014,4,08-11-2014,First Class,Corporate,New York City,New York,East,Office Supplies,Paper,30.18,3,0,13.8828
6980,07-11-2014,2014,4,08-11-2014,First Class,Corporate,New York City,New York,East,Office Supplies,Fasteners,5.92,4,0,2.8416
4780,07-11-2014,2014,4,12-11-2014,Standard Class,Consumer,Houston,Texas,Central,Furniture,Chairs,683.144,4,0.3,0
4728,07-11-2014,2014,4,12-11-2014,Standard Class,Consumer,San Francisco,California,West,Office Supplies,Binders,123.144,7,0.2,46.179
9809,07-11-2014,2014,4,11-11-2014,Second Class,Consumer,Portland,Oregon,West,Office Supplies,Paper,25.92,5,0.2,9.072
3186,07-11-2014,2014,4,09-11-2014,First Class,Corporate,Houston,Texas,Central,Office Supplies,Envelopes,74.352,3,0.2,26.9526
3185,07-11-2014,2014,4,09-11-2014,First Class,Corporate,Houston,Texas,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782
9810,07-11-2014,2014,4,11-11-2014,Second Class,Consumer,Portland,Oregon,West,Office Supplies,Art,120.768,4,0.2,9.0576
4781,07-11-2014,2014,4,12-11-2014,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,1.476,3,0.8,-2.214
5765,08-11-2014,2014,4,14-11-2014,Standard Class,Consumer,Redding,California,West,Technology,Phones,333.576,3,0.2,25.0182
471,09-11-2014,2014,4,11-11-2014,Second Class,Consumer,San Francisco,California,West,Office Supplies,Storage,340.92,3,0,3.4092
472,09-11-2014,2014,4,11-11-2014,Second Class,Consumer,San Francisco,California,West,Furniture,Bookcases,222.666,2,0.15,10.4784
473,09-11-2014,2014,4,11-11-2014,Second Class,Consumer,San Francisco,California,West,Technology,Phones,703.968,4,0.2,87.996
476,09-11-2014,2014,4,11-11-2014,Second Class,Consumer,San Francisco,California,West,Office Supplies,Paper,94.85,5,0,45.528
8137,09-11-2014,2014,4,13-11-2014,Standard Class,Home Office,New York City,New York,East,Furniture,Furnishings,56.52,9,0,21.4776
474,09-11-2014,2014,4,11-11-2014,Second Class,Consumer,San Francisco,California,West,Office Supplies,Storage,92.52,6,0,24.9804
475,09-11-2014,2014,4,11-11-2014,Second Class,Consumer,San Francisco,California,West,Office Supplies,Paper,62.65,7,0,28.819
3204,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,San Diego,California,West,Furniture,Furnishings,39.88,2,0,11.1664
5165,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,Midland,Michigan,Central,Office Supplies,Paper,12.84,3,0,5.778
5164,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,Midland,Michigan,Central,Office Supplies,Art,3.9,2,0,1.521
5166,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,Midland,Michigan,Central,Office Supplies,Paper,15.84,3,0,7.128
5167,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,Midland,Michigan,Central,Furniture,Chairs,563.94,3,0,112.788
5168,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,Midland,Michigan,Central,Office Supplies,Storage,62.94,3,0,11.9586
5169,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,Midland,Michigan,Central,Office Supplies,Storage,535.41,3,0,160.623
3205,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,San Diego,California,West,Office Supplies,Paper,62.24,8,0,28.008
3207,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,San Diego,California,West,Office Supplies,Labels,39.84,8,0,18.3264
3202,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,San Diego,California,West,Technology,Phones,601.536,8,0.2,60.1536
3206,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,San Diego,California,West,Furniture,Furnishings,53.2,5,0,14.896
3203,10-11-2014,2014,4,16-11-2014,Standard Class,Consumer,San Diego,California,West,Technology,Accessories,10.99,1,0,4.2861
9957,11-11-2014,2014,4,17-11-2014,Standard Class,Home Office,New Rochelle,New York,East,Office Supplies,Paper,223.92,4,0,109.7208
982,11-11-2014,2014,4,14-11-2014,Second Class,Consumer,Louisville,Colorado,West,Technology,Phones,559.984,2,0.2,55.9984
983,11-11-2014,2014,4,14-11-2014,Second Class,Consumer,Louisville,Colorado,West,Furniture,Chairs,603.92,5,0.2,75.49
5778,11-11-2014,2014,4,18-11-2014,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,30.48,3,0,7.9248
3327,11-11-2014,2014,4,15-11-2014,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Paper,21.72,5,0.2,7.8735
9748,11-11-2014,2014,4,15-11-2014,Standard Class,Consumer,Chicago,Illinois,Central,Furniture,Chairs,797.944,4,0.3,-56.996
5961,11-11-2014,2014,4,13-11-2014,Second Class,Home Office,Los Angeles,California,West,Technology,Phones,575.928,9,0.2,57.5928
5962,11-11-2014,2014,4,13-11-2014,Second Class,Home Office,Los Angeles,California,West,Office Supplies,Appliances,7.78,2,0,2.0228
3325,11-11-2014,2014,4,15-11-2014,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,1.234,1,0.8,-1.9744
5955,11-11-2014,2014,4,15-11-2014,Second Class,Corporate,Reading,Pennsylvania,East,Furniture,Bookcases,521.96,4,0.5,-250.5408
9615,11-11-2014,2014,4,13-11-2014,First Class,Corporate,Seattle,Washington,West,Office Supplies,Binders,2033.584,2,0.2,762.594
5963,11-11-2014,2014,4,13-11-2014,Second Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,123.92,4,0,55.764
3326,11-11-2014,2014,4,15-11-2014,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Art,67.56,3,0.2,6.756
9614,11-11-2014,2014,4,13-11-2014,First Class,Corporate,Seattle,Washington,West,Technology,Accessories,102.13,7,0,15.3195
9613,11-11-2014,2014,4,13-11-2014,First Class,Corporate,Seattle,Washington,West,Office Supplies,Appliances,22.98,1,0,6.894
5779,11-11-2014,2014,4,18-11-2014,Standard Class,Consumer,Los Angeles,California,West,Furniture,Chairs,112.648,1,0.2,11.2648
981,11-11-2014,2014,4,14-11-2014,Second Class,Consumer,Louisville,Colorado,West,Office Supplies,Art,3.392,1,0.2,0.8056
9747,11-11-2014,2014,4,15-11-2014,Standard Class,Consumer,Chicago,Illinois,Central,Furniture,Furnishings,10.984,2,0.6,-7.9634
3329,11-11-2014,2014,4,15-11-2014,Standard Class,Consumer,Houston,Texas,Central,Technology,Phones,148.48,2,0.2,16.704
5954,11-11-2014,2014,4,15-11-2014,Second Class,Corporate,Reading,Pennsylvania,East,Furniture,Furnishings,23.968,2,0.2,7.7896
3328,11-11-2014,2014,4,15-11-2014,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Paper,262.336,8,0.2,95.0968
9956,11-11-2014,2014,4,17-11-2014,Standard Class,Home Office,New Rochelle,New York,East,Office Supplies,Paper,46.35,5,0,21.7845
16,11-11-2014,2014,4,18-11-2014,Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0,13.3176
9958,11-11-2014,2014,4,17-11-2014,Standard Class,Home Office,New Rochelle,New York,East,Office Supplies,Supplies,7.3,2,0,2.19
3330,11-11-2014,2014,4,15-11-2014,Standard Class,Consumer,Houston,Texas,Central,Technology,Phones,241.176,3,0.2,15.0735
3324,11-11-2014,2014,4,15-11-2014,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Binders,896.99,5,0.8,-1480.0335
9904,12-11-2014,2014,4,18-11-2014,Standard Class,Consumer,Carrollton,Texas,Central,Technology,Accessories,127.984,2,0.2,25.5968
9903,12-11-2014,2014,4,18-11-2014,Standard Class,Consumer,Carrollton,Texas,Central,Furniture,Furnishings,25.128,3,0.6,-6.9102
5551,12-11-2014,2014,4,16-11-2014,Standard Class,Corporate,Houston,Texas,Central,Office Supplies,Supplies,16.656,6,0.2,-3.123
3965,12-11-2014,2014,4,17-11-2014,Second Class,Corporate,Asheville,North Carolina,South,Office Supplies,Art,7.872,3,0.2,0.8856
5552,12-11-2014,2014,4,16-11-2014,Standard Class,Corporate,Houston,Texas,Central,Technology,Accessories,79.512,3,0.2,20.8719
5550,12-11-2014,2014,4,16-11-2014,Standard Class,Corporate,Houston,Texas,Central,Office Supplies,Art,2.672,1,0.2,0.334
1862,12-11-2014,2014,4,12-11-2014,Same Day,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,49.632,4,0.2,4.9632
5554,12-11-2014,2014,4,16-11-2014,Standard Class,Corporate,Houston,Texas,Central,Furniture,Bookcases,67.9932,1,0.32,-12.9987
2412,12-11-2014,2014,4,16-11-2014,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,11.96,2,0,5.8604
2413,12-11-2014,2014,4,16-11-2014,Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,629.064,3,0.2,31.4532
5553,12-11-2014,2014,4,16-11-2014,Standard Class,Corporate,Houston,Texas,Central,Office Supplies,Paper,36.288,7,0.2,12.7008
2301,14-11-2014,2014,4,18-11-2014,Standard Class,Consumer,Midland,Michigan,Central,Office Supplies,Binders,11.52,4,0,5.6448
3260,14-11-2014,2014,4,15-11-2014,First Class,Corporate,Pasadena,Texas,Central,Office Supplies,Paper,20.736,4,0.2,7.2576
4280,14-11-2014,2014,4,18-11-2014,Standard Class,Home Office,New York City,New York,East,Office Supplies,Paper,11.36,2,0,5.2256
2210,14-11-2014,2014,4,16-11-2014,Second Class,Consumer,Fairfield,Connecticut,East,Office Supplies,Binders,43.8,10,0,21.024
2209,14-11-2014,2014,4,16-11-2014,Second Class,Consumer,Fairfield,Connecticut,East,Technology,Phones,832.93,7,0,233.2204
2300,14-11-2014,2014,4,18-11-2014,Standard Class,Consumer,Midland,Michigan,Central,Office Supplies,Binders,12.72,3,0,6.36
4281,14-11-2014,2014,4,18-11-2014,Standard Class,Home Office,New York City,New York,East,Furniture,Chairs,69.264,2,0.1,14.6224
8340,14-11-2014,2014,4,20-11-2014,Standard Class,Consumer,Chesapeake,Virginia,South,Office Supplies,Paper,32.4,5,0,15.552
5017,15-11-2014,2014,4,18-11-2014,First Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,10.11,3,0,3.2352
2516,15-11-2014,2014,4,22-11-2014,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Envelopes,604.656,9,0.2,204.0714
2010,15-11-2014,2014,4,21-11-2014,Standard Class,Consumer,Johnson City,Tennessee,South,Office Supplies,Paper,24.896,4,0.2,7.78
2008,15-11-2014,2014,4,21-11-2014,Standard Class,Consumer,Johnson City,Tennessee,South,Office Supplies,Art,4.224,3,0.2,0.4752
2009,15-11-2014,2014,4,21-11-2014,Standard Class,Consumer,Johnson City,Tennessee,South,Office Supplies,Appliances,333.056,2,0.2,29.1424
8945,15-11-2014,2014,4,17-11-2014,Second Class,Corporate,San Francisco,California,West,Office Supplies,Supplies,10.95,3,0,3.285
5018,15-11-2014,2014,4,18-11-2014,First Class,Consumer,Los Angeles,California,West,Technology,Accessories,772.47,3,0,146.7693
5019,15-11-2014,2014,4,18-11-2014,First Class,Consumer,Los Angeles,California,West,Office Supplies,Supplies,20.46,2,0,5.3196
5303,16-11-2014,2014,4,20-11-2014,Standard Class,Consumer,Decatur,Illinois,Central,Furniture,Chairs,37.296,2,0.3,-1.0656
4446,16-11-2014,2014,4,21-11-2014,Standard Class,Home Office,Bloomington,Indiana,Central,Office Supplies,Binders,29.12,4,0,14.2688
4447,16-11-2014,2014,4,21-11-2014,Standard Class,Home Office,Bloomington,Indiana,Central,Office Supplies,Storage,169.45,5,0,42.3625
4445,16-11-2014,2014,4,21-11-2014,Standard Class,Home Office,Bloomington,Indiana,Central,Office Supplies,Paper,31.68,6,0,14.256
3780,16-11-2014,2014,4,20-11-2014,Standard Class,Home Office,Manhattan,Kansas,Central,Technology,Phones,273.96,2,0,10.9584
8710,16-11-2014,2014,4,18-11-2014,First Class,Corporate,Los Angeles,California,West,Office Supplies,Storage,344.91,3,0,10.3473
4444,16-11-2014,2014,4,21-11-2014,Standard Class,Home Office,Bloomington,Indiana,Central,Office Supplies,Envelopes,78.35,5,0,36.8245
8708,16-11-2014,2014,4,18-11-2014,First Class,Corporate,Los Angeles,California,West,Technology,Phones,79.968,4,0.2,-17.9928
4982,16-11-2014,2014,4,22-11-2014,Standard Class,Corporate,Huntington Beach,California,West,Office Supplies,Labels,5.22,2,0,2.4012
8709,16-11-2014,2014,4,18-11-2014,First Class,Corporate,Los Angeles,California,West,Furniture,Bookcases,305.9745,3,0.15,25.1979
9460,17-11-2014,2014,4,22-11-2014,Second Class,Home Office,New York City,New York,East,Office Supplies,Paper,34.44,3,0,17.22
2092,17-11-2014,2014,4,21-11-2014,Standard Class,Home Office,Moorhead,Minnesota,Central,Furniture,Chairs,479.9,5,0,81.583
3601,17-11-2014,2014,4,24-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Paper,12.448,2,0.2,3.89
6535,17-11-2014,2014,4,22-11-2014,Standard Class,Consumer,Buffalo,New York,East,Furniture,Bookcases,4007.84,10,0.2,-50.098
3602,17-11-2014,2014,4,24-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,657.93,5,0.3,-93.99
3071,17-11-2014,2014,4,22-11-2014,Standard Class,Corporate,Newark,Delaware,East,Furniture,Furnishings,124.41,3,0,14.9292
6534,17-11-2014,2014,4,22-11-2014,Standard Class,Consumer,Buffalo,New York,East,Office Supplies,Binders,2152.776,3,0.2,726.5619
3072,17-11-2014,2014,4,22-11-2014,Standard Class,Corporate,Newark,Delaware,East,Office Supplies,Art,57.75,5,0,26.565
3263,17-11-2014,2014,4,19-11-2014,First Class,Corporate,San Francisco,California,West,Office Supplies,Appliances,241.44,3,0,72.432
3070,17-11-2014,2014,4,22-11-2014,Standard Class,Corporate,Newark,Delaware,East,Office Supplies,Storage,2934.33,7,0,792.2691
6022,17-11-2014,2014,4,21-11-2014,Standard Class,Consumer,Cedar Hill,Texas,Central,Office Supplies,Envelopes,7.08,3,0.2,2.478
3262,17-11-2014,2014,4,19-11-2014,First Class,Corporate,San Francisco,California,West,Office Supplies,Paper,733.95,7,0,352.296
3261,17-11-2014,2014,4,19-11-2014,First Class,Corporate,San Francisco,California,West,Technology,Accessories,99.98,2,0,7.9984
7299,18-11-2014,2014,4,21-11-2014,First Class,Consumer,Des Plaines,Illinois,Central,Furniture,Furnishings,8.544,2,0.6,-7.476
3299,18-11-2014,2014,4,22-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,50.997,1,0.7,-40.7976
4908,18-11-2014,2014,4,23-11-2014,Second Class,Consumer,Fairfield,Ohio,East,Technology,Phones,9.588,2,0.4,-2.0774
7300,18-11-2014,2014,4,21-11-2014,First Class,Consumer,Des Plaines,Illinois,Central,Furniture,Bookcases,424.116,6,0.3,-30.294
4907,18-11-2014,2014,4,23-11-2014,Second Class,Consumer,Fairfield,Ohio,East,Office Supplies,Binders,11.808,8,0.7,-8.6592
9284,18-11-2014,2014,4,23-11-2014,Standard Class,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,392.94,3,0,43.2234
2438,18-11-2014,2014,4,20-11-2014,Second Class,Consumer,Louisville,Colorado,West,Office Supplies,Paper,35.808,4,0.2,12.5328
4130,18-11-2014,2014,4,25-11-2014,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,Binders,14.48,5,0.8,-23.892
3303,18-11-2014,2014,4,22-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,1.944,3,0.7,-1.4256
8843,18-11-2014,2014,4,20-11-2014,Second Class,Corporate,Minneapolis,Minnesota,Central,Office Supplies,Storage,67.15,5,0,16.7875
9637,18-11-2014,2014,4,25-11-2014,Standard Class,Corporate,Seattle,Washington,West,Furniture,Tables,730.2,4,0,94.926
9636,18-11-2014,2014,4,25-11-2014,Standard Class,Corporate,Seattle,Washington,West,Furniture,Furnishings,137.54,2,0,55.016
3301,18-11-2014,2014,4,22-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Phones,539.964,6,0.4,-107.9928
2437,18-11-2014,2014,4,20-11-2014,Second Class,Consumer,Louisville,Colorado,West,Furniture,Tables,145.98,2,0.5,-99.2664
7302,18-11-2014,2014,4,21-11-2014,First Class,Consumer,Des Plaines,Illinois,Central,Office Supplies,Storage,381.72,5,0.2,-66.801
3300,18-11-2014,2014,4,22-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Storage,76.792,1,0.2,-16.3183
7298,18-11-2014,2014,4,21-11-2014,First Class,Consumer,Des Plaines,Illinois,Central,Furniture,Tables,292.1,4,0.5,-175.26
5395,18-11-2014,2014,4,21-11-2014,Second Class,Corporate,Provo,Utah,West,Office Supplies,Paper,21.98,7,0,9.891
7301,18-11-2014,2014,4,21-11-2014,First Class,Consumer,Des Plaines,Illinois,Central,Office Supplies,Binders,2.892,3,0.8,-4.9164
3302,18-11-2014,2014,4,22-11-2014,Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,60.312,3,0.2,5.2773
5393,19-11-2014,2014,4,25-11-2014,Standard Class,Corporate,Wilmington,Delaware,East,Office Supplies,Binders,213.08,7,0,102.2784
8972,19-11-2014,2014,4,21-11-2014,First Class,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,47.496,1,0.2,-1.1874
5394,19-11-2014,2014,4,25-11-2014,Standard Class,Corporate,Wilmington,Delaware,East,Furniture,Bookcases,1025.88,6,0,235.9524
183,19-11-2014,2014,4,24-11-2014,Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,149.95,5,0,41.986
184,19-11-2014,2014,4,24-11-2014,Second Class,Home Office,Monroe,Louisiana,South,Technology,Accessories,29,2,0,7.25
182,19-11-2014,2014,4,24-11-2014,Second Class,Home Office,Monroe,Louisiana,South,Technology,Phones,503.96,4,0,131.0296
9647,19-11-2014,2014,4,24-11-2014,Standard Class,Consumer,Coon Rapids,Minnesota,Central,Office Supplies,Storage,221.16,4,0,57.5016
2492,19-11-2014,2014,4,23-11-2014,Standard Class,Consumer,Jamestown,New York,East,Technology,Phones,4548.81,7,0,1228.1787
9735,19-11-2014,2014,4,22-11-2014,Second Class,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Paper,5.88,1,0.2,1.9845
5392,19-11-2014,2014,4,25-11-2014,Standard Class,Corporate,Wilmington,Delaware,East,Office Supplies,Labels,9.96,2,0,4.5816
7867,19-11-2014,2014,4,24-11-2014,Second Class,Home Office,Salt Lake City,Utah,West,Office Supplies,Paper,166.44,3,0,79.8912
9648,19-11-2014,2014,4,24-11-2014,Standard Class,Consumer,Coon Rapids,Minnesota,Central,Technology,Phones,281.97,3,0,78.9516
5391,19-11-2014,2014,4,25-11-2014,Standard Class,Corporate,Wilmington,Delaware,East,Office Supplies,Labels,22.5,6,0,10.8
7550,20-11-2014,2014,4,25-11-2014,Standard Class,Corporate,New York City,New York,East,Office Supplies,Envelopes,34.74,3,0,17.37
7553,20-11-2014,2014,4,25-11-2014,Standard Class,Corporate,New York City,New York,East,Office Supplies,Paper,25.92,4,0,12.4416
7551,20-11-2014,2014,4,25-11-2014,Standard Class,Corporate,New York City,New York,East,Technology,Phones,833.94,6,0,216.8244
7552,20-11-2014,2014,4,25-11-2014,Standard Class,Corporate,New York City,New York,East,Office Supplies,Binders,12.96,3,0.2,4.536
3398,21-11-2014,2014,4,26-11-2014,Standard Class,Corporate,Richmond,Kentucky,South,Technology,Phones,36.99,1,0,9.9873
3400,21-11-2014,2014,4,26-11-2014,Standard Class,Corporate,Richmond,Kentucky,South,Office Supplies,Storage,193.95,3,0,9.6975
7740,21-11-2014,2014,4,26-11-2014,Standard Class,Home Office,San Francisco,California,West,Technology,Accessories,94.99,1,0,28.497
3399,21-11-2014,2014,4,26-11-2014,Standard Class,Corporate,Richmond,Kentucky,South,Office Supplies,Paper,629.1,6,0,301.968
3401,21-11-2014,2014,4,26-11-2014,Standard Class,Corporate,Richmond,Kentucky,South,Office Supplies,Art,5.46,3,0,1.4742
7739,21-11-2014,2014,4,26-11-2014,Standard Class,Home Office,San Francisco,California,West,Office Supplies,Paper,6.58,2,0,3.0268
4498,21-11-2014,2014,4,26-11-2014,Standard Class,Corporate,San Francisco,California,West,Office Supplies,Paper,12.96,2,0,6.2208
5343,21-11-2014,2014,4,27-11-2014,Standard Class,Corporate,Dallas,Texas,Central,Technology,Phones,267.96,5,0.2,16.7475
5342,21-11-2014,2014,4,27-11-2014,Standard Class,Corporate,Dallas,Texas,Central,Office Supplies,Envelopes,1.632,1,0.2,0.5508
2577,22-11-2014,2014,4,27-11-2014,Standard Class,Corporate,Columbus,Georgia,South,Office Supplies,Appliances,675.12,3,0,290.3016
2576,22-11-2014,2014,4,27-11-2014,Standard Class,Corporate,Columbus,Georgia,South,Office Supplies,Envelopes,11.36,2,0,5.3392
2575,22-11-2014,2014,4,27-11-2014,Standard Class,Corporate,Columbus,Georgia,South,Office Supplies,Binders,319.9,5,0,156.751
2574,22-11-2014,2014,4,27-11-2014,Standard Class,Corporate,Columbus,Georgia,South,Office Supplies,Envelopes,16.23,3,0,7.9527
3970,22-11-2014,2014,4,26-11-2014,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Paper,53.82,9,0,24.219
3393,22-11-2014,2014,4,25-11-2014,First Class,Consumer,Pasadena,Texas,Central,Office Supplies,Binders,6.928,1,0.8,-11.0848
6805,22-11-2014,2014,4,25-11-2014,First Class,Corporate,Atlanta,Georgia,South,Office Supplies,Paper,9.96,2,0,4.8804
3894,22-11-2014,2014,4,28-11-2014,Standard Class,Home Office,Bolingbrook,Illinois,Central,Office Supplies,Binders,9.98,5,0.8,-16.467
2083,23-11-2014,2014,4,29-11-2014,Standard Class,Home Office,Houston,Texas,Central,Office Supplies,Labels,23.68,2,0.2,8.88
7265,23-11-2014,2014,4,26-11-2014,Second Class,Corporate,Houston,Texas,Central,Furniture,Chairs,155.372,2,0.3,-35.5136
4808,23-11-2014,2014,4,28-11-2014,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,62.808,3,0.2,21.1977
3708,23-11-2014,2014,4,27-11-2014,Standard Class,Corporate,Mesquite,Texas,Central,Office Supplies,Appliances,34.176,3,0.8,-87.1488
3707,23-11-2014,2014,4,27-11-2014,Standard Class,Corporate,Mesquite,Texas,Central,Furniture,Furnishings,6.368,2,0.6,-2.5472
7100,23-11-2014,2014,4,28-11-2014,Standard Class,Consumer,Scottsdale,Arizona,West,Office Supplies,Envelopes,23.472,3,0.2,8.802
1570,23-11-2014,2014,4,25-11-2014,First Class,Consumer,Los Angeles,California,West,Furniture,Chairs,603.92,5,0.2,-67.941
1572,23-11-2014,2014,4,25-11-2014,First Class,Consumer,Los Angeles,California,West,Technology,Accessories,29.99,1,0,6.2979
1573,23-11-2014,2014,4,25-11-2014,First Class,Consumer,Los Angeles,California,West,Furniture,Chairs,381.44,2,0.2,23.84
3709,23-11-2014,2014,4,27-11-2014,Standard Class,Corporate,Mesquite,Texas,Central,Technology,Accessories,5.544,7,0.2,1.6632
9627,23-11-2014,2014,4,27-11-2014,Standard Class,Consumer,Detroit,Michigan,Central,Office Supplies,Binders,14.67,3,0,6.7482
1571,23-11-2014,2014,4,25-11-2014,First Class,Consumer,Los Angeles,California,West,Office Supplies,Envelopes,21.84,3,0,10.4832
2151,24-11-2014,2014,4,29-11-2014,Second Class,Consumer,Saint Louis,Missouri,Central,Technology,Accessories,111.79,7,0,43.5981
3834,24-11-2014,2014,4,24-11-2014,Same Day,Corporate,Columbus,Ohio,East,Furniture,Chairs,611.058,3,0.3,-34.9176
3833,24-11-2014,2014,4,24-11-2014,Same Day,Corporate,Columbus,Ohio,East,Technology,Phones,1049.97,5,0.4,-209.994
2366,24-11-2014,2014,4,26-11-2014,Second Class,Consumer,Sacramento,California,West,Furniture,Chairs,120.712,1,0.2,-18.1068
1186,24-11-2014,2014,4,30-11-2014,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Paper,25.92,4,0,12.4416
4057,24-11-2014,2014,4,28-11-2014,Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Storage,646.2,5,0.2,-8.0775
388,24-11-2014,2014,4,26-11-2014,First Class,Consumer,Cincinnati,Ohio,East,Office Supplies,Art,2.624,1,0.2,0.4264
6315,24-11-2014,2014,4,29-11-2014,Standard Class,Corporate,Jackson,Michigan,Central,Office Supplies,Labels,196.62,2,0,96.3438
